Player,Role,Team,Birth,Value
Matej Maglica,Centre-Back,SV Darmstadt 98,"Sep 25, 1998",€2.00m
Clemens Riedel,Centre-Back,SV Darmstadt 98,"Jul 19, 2003",€2.00m
Christoph Zimmermann,Centre-Back,SV Darmstadt 98,"Jan 12, 1993",€1.00m
Jannik Müller,Centre-Back,SV Darmstadt 98,"Jan 18, 1994",€800k
Thomas Isherwood,Centre-Back,SV Darmstadt 98,"Jan 28, 1998",€700k
Emir Karic,Left-Back,SV Darmstadt 98,"Jun 9, 1997",€1.00m
Fabian Holland  ,Left-Back,SV Darmstadt 98,"Jul 11, 1990",€600k
Matthias Bader,Right-Back,SV Darmstadt 98,"Jun 17, 1997",€2.20m
Bartol Franjic,Defensive Midfield,SV Darmstadt 98,"Jan 14, 2000",€2.00m
Andreas Müller,Defensive Midfield,SV Darmstadt 98,"Jul 20, 2000",€800k
Klaus Gjasula,Defensive Midfield,SV Darmstadt 98,"Dec 14, 1989",€500k
Fabian Nürnberger ,Central Midfield,SV Darmstadt 98,"Jul 28, 1999",€2.50m
Fabian Schnellhardt,Central Midfield,SV Darmstadt 98,"Jan 12, 1994",€1.00m
Tobias Kempe,Central Midfield,SV Darmstadt 98,"Jun 27, 1989",€500k
Marvin Mehlem ,Attacking Midfield,SV Darmstadt 98,"Sep 11, 1997",€3.00m
Julian Justvan,Attacking Midfield,SV Darmstadt 98,"Apr 2, 1998",€1.50m
Gerrit Holtmann,Left Winger,SV Darmstadt 98,"Mar 25, 1995",€1.50m
Mathias Honsak,Left Winger,SV Darmstadt 98,"Dec 20, 1996",€1.20m
Tim Skarke,Right Winger,SV Darmstadt 98,"Sep 7, 1996",€3.00m
Oscar Vilhelmsson,Centre-Forward,SV Darmstadt 98,"Oct 2, 2003",€2.00m
Fraser Hornby ,Centre-Forward,SV Darmstadt 98,"Sep 13, 1999",€1.80m
Braydon Manu,Centre-Forward,SV Darmstadt 98,"Mar 28, 1997",€1.50m
Luca Pfeiffer,Centre-Forward,SV Darmstadt 98,"Aug 20, 1996",€1.20m
Sebastian Polter,Centre-Forward,SV Darmstadt 98,"Apr 1, 1991",€700k
Aaron Seydel,Centre-Forward,SV Darmstadt 98,"Feb 7, 1996",€500k
Fabio Torsiello,Centre-Forward,SV Darmstadt 98,"Feb 2, 2005",€500k
Koen Casteels ,Goalkeeper,VfL Wolfsburg,"Jun 25, 1992",€8.00m
Pavao Pervan,Goalkeeper,VfL Wolfsburg,"Nov 13, 1987",€400k
Niklas Klinger,Goalkeeper,VfL Wolfsburg,"Oct 13, 1995",€100k
Maxence Lacroix,Centre-Back,VfL Wolfsburg,"Apr 6, 2000",€20.00m
Moritz Jenz,Centre-Back,VfL Wolfsburg,"Apr 30, 1999",€7.50m
Sebastiaan Bornauw,Centre-Back,VfL Wolfsburg,"Mar 22, 1999",€7.00m
Cédric Zesiger,Centre-Back,VfL Wolfsburg,"Jun 24, 1998",€6.00m
Rogério ,Left-Back,VfL Wolfsburg,"Jan 13, 1998",€7.50m
Joakim Maehle,Right-Back,VfL Wolfsburg,"May 20, 1997",€14.00m
Ridle Baku,Right-Back,VfL Wolfsburg,"Apr 8, 1998",€8.00m
Kilian Fischer,Right-Back,VfL Wolfsburg,"Oct 12, 2000",€1.50m
Kofi Amoako,Defensive Midfield,VfL Wolfsburg,"May 6, 2005",-
Mattias Svanberg,Central Midfield,VfL Wolfsburg,"Jan 5, 1999",€15.00m
Aster Vranckx,Central Midfield,VfL Wolfsburg,"Oct 4, 2002",€12.00m
Maximilian Arnold ,Central Midfield,VfL Wolfsburg,"May 27, 1994",€10.00m
Yannick Gerhardt,Central Midfield,VfL Wolfsburg,"Mar 13, 1994",€5.00m
Kevin Paredes,Left Midfield,VfL Wolfsburg,"May 7, 2003",€5.00m
Lovro Majer,Attacking Midfield,VfL Wolfsburg,"Jan 17, 1998",€25.00m
Jakub Kaminski,Left Winger,VfL Wolfsburg,"Jun 5, 2002",€7.00m
Ulysses Llanez ,Left Winger,VfL Wolfsburg,"Apr 2, 2001",€200k
Patrick Wimmer,Right Winger,VfL Wolfsburg,"May 30, 2001",€18.00m
Vaclav Cerny,Right Winger,VfL Wolfsburg,"Oct 17, 1997",€8.00m
Jonas Wind,Centre-Forward,VfL Wolfsburg,"Feb 7, 1999",€20.00m
Lukas Nmecha ,Centre-Forward,VfL Wolfsburg,"Dec 14, 1998",€7.00m
Tiago Tomás,Centre-Forward,VfL Wolfsburg,"Jun 16, 2002",€6.00m
Amin Sarr,Centre-Forward,VfL Wolfsburg,"Mar 11, 2001",€4.00m
Kevin Behrens,Centre-Forward,VfL Wolfsburg,"Feb 3, 1991",€3.00m
Dzenan Pejcinovic,Centre-Forward,VfL Wolfsburg,"Feb 15, 2005",€1.00m
Noah Atubolu,Goalkeeper,SC Freiburg,"May 25, 2002",€8.00m
Florian Müller,Goalkeeper,SC Freiburg,"Nov 13, 1997",€1.20m
Benjamin Uphoff,Goalkeeper,SC Freiburg,"Aug 8, 1993",€500k
Philipp Lienhart ,Centre-Back,SC Freiburg,"Jul 11, 1996",€20.00m
Matthias Ginter ,Centre-Back,SC Freiburg,"Jan 19, 1994",€15.00m
Attila Szalai,Centre-Back,SC Freiburg,"Jan 20, 1998",€6.00m
Kenneth Schmidt ,Centre-Back,SC Freiburg,"Jun 3, 2002",€3.00m
Manuel Gulde,Centre-Back,SC Freiburg,"Feb 12, 1991",€1.50m
Max Rosenfelder,Centre-Back,SC Freiburg,"Feb 10, 2003",€500k
Christian Günter ,Left-Back,SC Freiburg,"Feb 28, 1993",€6.00m
Jordy Makengo,Left-Back,SC Freiburg,"Aug 3, 2001",€3.50m
Kiliann Sildillia,Right-Back,SC Freiburg,"May 16, 2002",€18.00m
Lukas Kübler ,Right-Back,SC Freiburg,"Aug 30, 1992",€2.50m
Yannik Keitel,Defensive Midfield,SC Freiburg,"Feb 15, 2000",€4.00m
Nicolas Höfler,Defensive Midfield,SC Freiburg,"Mar 9, 1990",€2.00m
Maximilian Eggestein,Central Midfield,SC Freiburg,"Dec 8, 1996",€10.00m
Merlin Röhl ,Central Midfield,SC Freiburg,"Jul 5, 2002",€10.00m
Daniel-Kofi Kyereh ,Attacking Midfield,SC Freiburg,"Mar 8, 1996",€5.00m
Vincenzo Grifo,Left Winger,SC Freiburg,"Apr 7, 1993",€12.00m
Noah Weißhaupt,Left Winger,SC Freiburg,"Sep 20, 2001",€7.00m
Florent Muslija,Left Winger,SC Freiburg,"Jul 6, 1998",€2.50m
Roland Sallai,Right Winger,SC Freiburg,"May 22, 1997",€15.00m
Ritsu Doan,Right Winger,SC Freiburg,"Jun 16, 1998",€15.00m
Maximilian Philipp,Second Striker,SC Freiburg,"Mar 1, 1994",€2.00m
Michael Gregoritsch,Centre-Forward,SC Freiburg,"Apr 18, 1994",€8.00m
Lucas Höler,Centre-Forward,SC Freiburg,"Jul 10, 1994",€5.00m
Junior Adamu,Centre-Forward,SC Freiburg,"Jun 6, 2001",€5.00m
Maximilian Breunig,Centre-Forward,SC Freiburg,"Aug 14, 2000",€450k
Jonas Omlin  ,Goalkeeper,Borussia MÃ¶nchengladbach,"Jan 10, 1994",€7.00m
Moritz Nicolas,Goalkeeper,Borussia MÃ¶nchengladbach,"Oct 21, 1997",€2.00m
Jan Olschowsky,Goalkeeper,Borussia MÃ¶nchengladbach,"Nov 18, 2001",€800k
Tobias Sippel,Goalkeeper,Borussia MÃ¶nchengladbach,"Mar 22, 1988",€300k
Maximilian Brüll ,Goalkeeper,Borussia MÃ¶nchengladbach,"Aug 26, 2002",€75k
Ko Itakura,Centre-Back,Borussia MÃ¶nchengladbach,"Jan 27, 1997",€15.00m
Maximilian Wöber ,Centre-Back,Borussia MÃ¶nchengladbach,"Feb 4, 1998",€14.00m
Nico Elvedi,Centre-Back,Borussia MÃ¶nchengladbach,"Sep 30, 1996",€10.00m
Marvin Friedrich,Centre-Back,Borussia MÃ¶nchengladbach,"Dec 13, 1995",€3.50m
Fabio Chiarodia,Centre-Back,Borussia MÃ¶nchengladbach,"Jun 5, 2005",€2.00m
Tony Jantschke ,Centre-Back,Borussia MÃ¶nchengladbach,"Apr 7, 1990",€400k
Mamadou Doucouré ,Centre-Back,Borussia MÃ¶nchengladbach,"May 21, 1998",€100k
Luca Netz,Left-Back,Borussia MÃ¶nchengladbach,"May 15, 2003",€10.00m
Lukas Ullrich,Left-Back,Borussia MÃ¶nchengladbach,"Mar 16, 2004",€750k
Joe Scally,Right-Back,Borussia MÃ¶nchengladbach,"Dec 31, 2002",€12.00m
Stefan Lainer,Right-Back,Borussia MÃ¶nchengladbach,"Aug 27, 1992",€3.00m
Simon Walde ,Right-Back,Borussia MÃ¶nchengladbach,"Jan 4, 2005",€500k
Julian Weigl ,Defensive Midfield,Borussia MÃ¶nchengladbach,"Sep 8, 1995",€10.00m
Christoph Kramer ,Defensive Midfield,Borussia MÃ¶nchengladbach,"Feb 19, 1991",€2.00m
Manu Koné ,Central Midfield,Borussia MÃ¶nchengladbach,"May 17, 2001",€25.00m
Rocco Reitz,Central Midfield,Borussia MÃ¶nchengladbach,"May 29, 2002",€10.00m
Florian Neuhaus,Central Midfield,Borussia MÃ¶nchengladbach,"Mar 16, 1997",€9.00m
Robin Hack,Left Winger,Borussia MÃ¶nchengladbach,"Aug 27, 1998",€4.50m
Franck Honorat ,Right Winger,Borussia MÃ¶nchengladbach,"Aug 11, 1996",€12.00m
Nathan Ngoumou,Right Winger,Borussia MÃ¶nchengladbach,"Mar 14, 2000",€5.00m
Patrick Herrmann,Right Winger,Borussia MÃ¶nchengladbach,"Feb 12, 1991",€1.00m
Tomas Cvancara,Centre-Forward,Borussia MÃ¶nchengladbach,"Aug 13, 2000",€10.00m
Alassane Plea,Centre-Forward,Borussia MÃ¶nchengladbach,"Mar 10, 1993",€8.00m
Jordan ,Centre-Forward,Borussia MÃ¶nchengladbach,"Apr 26, 1996",€6.00m
Grant-Leon Ranos ,Centre-Forward,Borussia MÃ¶nchengladbach,"Jul 20, 2003",€1.00m
Shio Fukuda,Centre-Forward,Borussia MÃ¶nchengladbach,"Apr 8, 2004",€300k
Frederik Rönnow,Goalkeeper,1.FC Union Berlin,"Aug 4, 1992",€5.50m
Alexander Schwolow,Goalkeeper,1.FC Union Berlin,"Jun 2, 1992",€900k
Jakob Busk,Goalkeeper,1.FC Union Berlin,"Sep 12, 1993",€250k
Danilho Doekhi,Centre-Back,1.FC Union Berlin,"Jun 30, 1998",€17.00m
Diogo Leite,Centre-Back,1.FC Union Berlin,"Jan 23, 1999",€15.00m
Robin Knoche,Centre-Back,1.FC Union Berlin,"May 22, 1992",€4.00m
Kevin Vogt,Centre-Back,1.FC Union Berlin,"Sep 23, 1991",€2.50m
Paul Jaeckel,Centre-Back,1.FC Union Berlin,"Jul 22, 1998",€2.50m
Jérôme Roussillon,Left-Back,1.FC Union Berlin,"Jan 6, 1993",€2.50m
Josip Juranovic,Right-Back,1.FC Union Berlin,"Aug 16, 1995",€10.00m
Christopher Trimmel ,Right-Back,1.FC Union Berlin,"Feb 24, 1987",€800k
Rani Khedira,Defensive Midfield,1.FC Union Berlin,"Jan 27, 1994",€8.00m
Alex Král,Defensive Midfield,1.FC Union Berlin,"May 19, 1998",€7.50m
Lucas Tousart,Defensive Midfield,1.FC Union Berlin,"Apr 29, 1997",€7.00m
Noah Engelbreth,Defensive Midfield,1.FC Union Berlin,"Jun 12, 2005",-
Aïssa Laïdouni,Central Midfield,1.FC Union Berlin,"Dec 13, 1996",€8.00m
András Schäfer,Central Midfield,1.FC Union Berlin,"Apr 13, 1999",€5.00m
Janik Haberer,Central Midfield,1.FC Union Berlin,"Apr 2, 1994",€4.00m
Robin Gosens,Left Midfield,1.FC Union Berlin,"Jul 5, 1994",€12.00m
Brenden Aaronson,Attacking Midfield,1.FC Union Berlin,"Oct 22, 2000",€14.00m
Kevin Volland,Centre-Forward,1.FC Union Berlin,"Jul 30, 1992",€5.00m
Yorbe Vertessen,Centre-Forward,1.FC Union Berlin,"Jan 8, 2001",€4.00m
Benedict Hollerbach,Centre-Forward,1.FC Union Berlin,"May 17, 2001",€3.50m
Chris Bedia,Centre-Forward,1.FC Union Berlin,"Mar 5, 1996",€3.00m
Mikkel Kaufmann,Centre-Forward,1.FC Union Berlin,"Jan 3, 2001",€2.70m
