Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6Seasons*,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,3Seasons*
Jonathan Burkardt,FW-MF,,Right,181cm,76kg,"July 11, 2000",Germany,Mainz 05,"36,346",2027.0,,,,,,,0.38,0.27,2.37,0.15,0.13,0.4,1.91,22.9,65.0,1.91,2.21,1.22,4.27,5.65,0.76,0.23,0.84,0.15,0.69,,,,,,,,,,,,,,
Edimilson Fernandes,DF-MF,(CB),Right,190cm,69kg,"April 15, 1996",Switzerland,Mainz 05,"38,077",2026.0,,,,,,,0.0,0.03,1.03,0.17,0.05,0.09,2.46,54.72,76.7,3.2,0.69,0.63,0.29,0.69,1.72,1.72,0.74,3.49,1.26,,,,,,,,,,,,,,
Danny da Costa,DF-FW-MF,"(DM-FB,",Right,185cm,84kg,"July 13, 1993",Germany,Mainz 05,"18,462",2025.0,,,,,,,0.0,0.05,0.69,0.09,0.07,0.12,1.63,48.26,66.5,4.38,1.89,0.77,1.03,5.15,1.89,1.37,1.55,2.32,1.12,,,,,,,,,,,,,,
Andreas Hanche-Olsen,DF,"(CB,",Right,185cm,82kg,"January 17, 1997",Norway,Mainz 05,"23,077",2026.0,,,,,,,0.18,0.08,0.54,0.09,0.09,0.17,0.54,47.81,79.5,1.81,0.27,0.18,0.91,0.27,2.0,1.09,0.91,4.72,3.81,,,,,,,,,,,,,,
Marco Richter,FW-MF,(AM),Right,176cm,73kg,"November 24, 1997",Germany,Mainz 05,"15,385",2027.0,,,,,,,0.17,0.18,3.85,0.17,0.19,0.38,3.67,34.29,64.3,3.67,2.36,2.01,4.29,6.65,1.4,0.35,1.14,0.52,0.44,,,,,,,,,,,,,,
Josuha Guilavogui,DF-MF,(CM-DM),Right,188cm,83kg,"September 19, 1990",France,Mainz 05,"23,077",2024.0,,,,,,,0.0,0.03,0.33,0.11,0.01,0.04,0.89,59.45,88.6,3.76,0.33,0.11,0.89,0.22,2.1,2.55,1.55,4.21,2.1,,,,,,,,,,,,,,
Maxim Leitsch,DF,"(CB,",Left,186cm,79kg,"May 18, 1998",Germany,Mainz 05,"18,462",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Batz,GK,,Right,189cm,83kg,"January 12, 1991",Germany,Mainz 05,"4,231",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Weiper,FW,,,192cm,81kg,"March 17, 2005",Germany,Mainz 05,"6,923",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasse Rieß,GK,,,191cm,87kg,"July 27, 2001",Germany,Mainz 05,"4,615",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Riemann,GK,,Right,186cm,83kg,"September 9, 1988",Germany,Bochum,"16,154",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,1.82,69.3,0.27,20.0,14.7,55.29,62.2,6.59,47.0,7.0,3.12,19.8,
Bernardo,DF,"(FB,",Left,186cm,76kg,"May 14, 1995",Brazil,Bochum,"23,077",2025.0,,,,,,,0.03,0.06,0.86,0.0,0.01,0.07,1.24,49.19,71.6,3.59,0.79,0.35,1.35,1.21,3.0,1.79,2.1,3.83,4.31,,,,,,,,,,,,,,
Kevin Stöger,MF,(AM-CM),Left,175cm,69kg,"August 27, 1993",Austria,Bochum,"13,846",2024.0,,,,,,,0.07,0.08,2.22,0.38,0.29,0.37,6.98,66.12,66.3,9.71,2.7,0.75,1.4,4.52,1.92,0.72,1.54,0.58,0.21,,,,,,,,,,,,,,
Takuma Asano,FW-MF,(AM),Right,171cm,69kg,"November 10, 1994",Japan,Bochum,"8,654",2024.0,,,,,,,0.27,0.35,2.93,0.08,0.08,0.42,2.97,17.37,66.7,1.62,2.36,0.62,4.4,7.1,0.77,0.15,0.81,0.62,0.77,,,,,,,,,,,,,,
Ivan Ordets,DF,(CB),Right,187cm,87kg,"July 8, 1992",Ukraine,Bochum,"36,346",2024.0,,,,,,,0.05,0.03,0.64,0.0,0.03,0.07,0.64,32.53,71.3,1.96,0.27,0.05,2.47,0.37,0.73,1.74,1.78,6.3,6.12,,,,,,,,,,,,,,
Philipp Hofmann,FW,,Right,194cm,68kg,"March 30, 1993",Germany,Bochum,"15,000",2026.0,,,,,,,0.16,0.25,1.99,0.16,0.09,0.34,2.42,23.86,60.8,2.26,0.21,0.48,4.67,4.73,0.54,0.21,0.43,1.61,6.82,,,,,,,,,,,,,,
Cristian Gamboa,DF-MF,"(DM-FB,",Right,175cm,67kg,"October 24, 1989",Costa,Bochum,"11,538",2025.0,,,,,,,0.0,0.01,0.49,0.07,0.03,0.04,1.46,35.18,73.3,2.58,0.91,0.42,0.07,1.18,1.88,1.11,1.46,2.37,0.84,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.17,0.14,1.68,0.08,0.12,0.27,2.35,15.94,59.5,0.84,1.09,0.75,3.61,5.7,0.75,0.0,0.92,0.67,2.26,,,,,,,,,,,,,,
Felix Passlack,DF-MF,,Right,170cm,73kg,"May 29, 1998",Germany,Bochum,"19,231",2025.0,,,,,,,0.11,0.07,1.26,0.0,0.13,0.18,3.21,39.95,64.1,3.1,0.57,0.69,1.15,4.13,2.18,0.92,1.38,2.3,0.57,,,,,,,,,,,,,,
Maximilian Wittek,DF-MF,"(CB-FB,",Left,170cm,72kg,"August 21, 1995",Germany,Bochum,"15,385",2026.0,,,,,,,0.12,0.05,2.01,0.12,0.14,0.18,4.02,47.83,63.5,5.2,1.42,0.59,0.59,4.96,2.13,1.89,1.06,2.36,1.3,,,,,,,,,,,,,,
Tim Oermann,DF,,Right,187cm,76kg,"October 6, 2003",Germany,Bochum,"5,192",2026.0,,,,,,,0.0,0.02,0.66,0.0,0.05,0.07,1.16,34.08,68.9,3.31,0.99,0.33,0.33,0.99,1.99,0.33,2.32,2.81,0.99,,,,,,,,,,,,,,
Gonçalo Paciência,FW,,Right,184cm,78kg,"August 1, 1994",Portugal,Bochum,"13,846",2024.0,,,,,,,0.35,0.37,4.38,0.12,0.16,0.52,3.58,24.23,60.5,3.0,1.38,1.62,5.65,6.12,1.15,0.0,0.81,1.04,3.12,,,,,,,,,,,,,,
Lukas Daschner,FW-MF,,Both,177cm,76kg,"October 1, 1998",Germany,Bochum,"9,615",2026.0,,,,,,,0.18,0.42,2.38,0.18,0.16,0.59,3.48,30.18,60.6,3.11,1.83,2.2,4.02,6.4,1.28,0.37,1.28,0.37,0.73,,,,,,,,,,,,,,
Philipp Förster,FW-MF,(AM),Left,188cm,82kg,"February 4, 1995",Germany,Bochum,"11,538",2024.0,,,,,,,0.14,0.17,1.58,0.14,0.12,0.29,4.61,44.5,73.8,4.9,1.44,0.29,2.16,3.46,2.16,1.3,0.72,0.72,0.43,,,,,,,,,,,,,,
Danilo Soares,DF,"(FB,",Left,170cm,72kg,"October 29, 1991",Brazil,Bochum,"8,269",2024.0,,,,,,,0.0,0.0,0.75,0.0,0.04,0.04,2.25,43.13,70.4,3.38,0.75,1.13,0.19,1.5,3.38,2.06,1.88,3.19,0.75,,,,,,,,,,,,,,
Noah Loosli,DF,,,185cm,74kg,"January 23, 1997",Switzerland,Bochum,"7,115",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Luthe,GK,,Right,195cm,89kg,"March 10, 1987",Germany,Bochum,"5,769",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,2.03,63.0,0.25,0.0,0.0,49.98,22.1,6.64,36.1,4.3,2.95,18.7,
Agon Elezi,MF,,,178cm,(5-10),"March 1, 2001",North,Bochum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moritz Römling,FW,,,Born:,April,Germany de,Bochum,"€ 2,308 Weekly Expires June 2024. Via Capology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
